"LokalID"	"predator"	"Lokal"	"Individ"	"n_shoots"	"h_shoot"	"n_fl"	"phen_index"	"most_adv"	"n_eggs"	"n_pred_all"	"n_aborted_all"	"perc_undeveloped"	"n_intact_fruits"	"n_seeds"	"attack"	"date"	"date_julian"	"year"	"apply_to_phen_1ago"	"phen_corr"
"135"	"Ale010"	0	"Stora Kroksjön Ö stranden"	35	1	15,7	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"136"	"Ale010"	0	"Stora Kroksjön Ö stranden"	36	3	26,6	4	1,25	2	0	0	1	NA	2	1180	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"137"	"Ale010"	0	"Stora Kroksjön Ö stranden"	37	1	16,5	1	2	2	0	0	0	NA	1	470	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"138"	"Ale010"	0	"Stora Kroksjön Ö stranden"	38	1	15,2	1	1	1	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	0,571428571
"139"	"Ale010"	0	"Stora Kroksjön Ö stranden"	39	2	18,5	2	1,5	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"140"	"Ale010"	0	"Stora Kroksjön Ö stranden"	40	1	26,9	2	3	4	0	0	0	NA	2	930	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"141"	"Ale010"	0	"Stora Kroksjön Ö stranden"	41	1	27,1	3	3,333333333	5	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	4,571428571
"142"	"Ale010"	0	"Stora Kroksjön Ö stranden"	42	2	23	2	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"143"	"Ale010"	0	"Stora Kroksjön Ö stranden"	43	1	33,2	3	2,333333333	3	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"144"	"Ale010"	0	"Stora Kroksjön Ö stranden"	44	3	22,1	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"145"	"Ale010"	0	"Stora Kroksjön Ö stranden"	45	8	27,8	1	3	3	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"146"	"Ale010"	0	"Stora Kroksjön Ö stranden"	46	3	14,3	1	3	3	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"147"	"Ale010"	0	"Stora Kroksjön Ö stranden"	47	1	21,3	3	2	2	0	1	0	NA	2	1260	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"148"	"Ale010"	0	"Stora Kroksjön Ö stranden"	48	2	19,6	1	2	2	0	0	0	NA	1	520	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"149"	"Ale010"	0	"Stora Kroksjön Ö stranden"	49	1	32,7	2	3	4	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"150"	"Ale010"	0	"Stora Kroksjön Ö stranden"	50	2	27	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"151"	"Ale010"	0	"Stora Kroksjön Ö stranden"	51	3	18,4	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"152"	"Ale010"	0	"Stora Kroksjön Ö stranden"	52	2	33,9	1	2	2	0	0	0	NA	1	630	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"153"	"Ale010"	0	"Stora Kroksjön Ö stranden"	53	2	27,1	4	2,5	4	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"154"	"Ale010"	0	"Stora Kroksjön Ö stranden"	54	2	17	1	2	2	0	0	0	NA	1	90	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
"155"	"Ale010"	0	"Stora Kroksjön Ö stranden"	55	1	30,5	2	2,5	4	0	0	0	NA	1	500	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"156"	"Ale010"	0	"Stora Kroksjön Ö stranden"	56	3	21	2	3	4	0	2	0	90	0	10	0	"04/08/2010"	216	2010	-0,428571429	3,571428571
"157"	"Ale010"	0	"Stora Kroksjön Ö stranden"	57	1	26,2	3	2	3	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	2,571428571
"158"	"Ale010"	0	"Stora Kroksjön Ö stranden"	58	3	15,1	1	2	2	0	0	0	NA	0	NA	0	"04/08/2010"	216	2010	-0,428571429	1,571428571
