predator	LokalID	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	n_intact_fruits	attack	year	prop_pred	prop_pred_c	prop_int_fr	prop_int_fr_c
0	Bor012	74	3	23	1	4	4	0	0	0	1	0	2010	0	0	1	1
0	Bor012	75	1	20,7	3	2,66666667	4	0	0	0	0	0	2010	0	0	0	0
0	Bor012	76	3	19	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	77	3	11,9	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	78	3	17,3	2	3	4	0	0	0	2	0	2010	0	0	1	1
0	Bor012	79	4	11,6	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	80	4	16,5	2	3	4	0	1	0	1	0	2010	0,5	0,5	0,5	0,5
0	Bor012	81	2	15	1	4	4	0	0	0	0	0	2010	0	0	0	0
0	Bor012	82	4	16,8	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	83	4	17,2	3	2,33333333	4	0	2	0	1	0	2010	0,66666667	0,66666667	0,33333333	0,33333333
0	Bor012	84	1	8,7	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	85	2	17,7	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	86	4	13,8	1	1	1	0	1	0	0	0	2010	1	1	0	0
0	Bor012	87	4	13	1	2	2	0	0	0	0	0	2010	0	0	0	0
0	Bor012	88	3	10,3	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Bor012	89	1	22,3	2	2	3	0	0	0	0	0	2010	0	0	0	0
0	Bor012	90	2	7,7	2	1,5	2	0	1	2	0	0	2010	0,5	0,5	0	0
0	Bor012	91	2	14,1	1	3	3	0	0	0	1	0	2010	0	0	1	1
0	Bor012	92	4	6,3	1	2	2	0	1	0	0	0	2010	1	1	0	0
0	Bor012	93	2	16,7	2	2	3	0	0	0	2	0	2010	0	0	1	1
0	Bor012	94	3	26,5	1	2	2	0	0	0	1	0	2010	0	0	1	1
0	Bor012	95	5	11,3	1	5	5	0	0	0	0	0	2010	0	0	0	0
0	Bor012	96	4	15,1	1	5	5	0	0	0	1	0	2010	0	0	1	1
0	Bor012	97	5	17,8	1	1	1	0	0	0	0	0	2010	0	0	0	0
0	Bor012	98	7	19,7	1	1	1	0	0	0	1	0	2010	0	0	1	1
