LokalID	predator	Lokal	Individ	n_shoots	h_shoot	n_fl	phen_index	most_adv	n_eggs	n_pred_all	n_aborted_all	perc_undeveloped	n_intact_fruits	n_seeds	attack	h_shoot_mean	n_fl_mean	most_adv_mean	n_eggs_mean	n_intact_fruits_mean	attack_mean	h_shoot_sd	n_fl_sd	most_adv_sd	n_eggs_sd	n_intact_fruits_sd	attack_sd	h_shoot_sta	n_fl_sta	most_adv_sta	n_eggs_sta	n_intact_fruits_sta	attack_sta	n_intact_fruits_rel
Ale001	1	Bockemossen	70	1	17,3	3	1,666666667	3	0	3	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,417060581	0,038090731	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	71	2	19,1	4	3	4	0	5	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,106721993	0,672936242	0,756810086	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	72	1	13,6	1	1	1	0	0	2	NA	1	150	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-1,054978792	-1,231600291	-2,153997937	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	73	1	6,2	5	1,8	3	0	1	0	NA	4	380	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-2,330815213	1,307781752	-0,213459255	-0,412965414	2,696384526	-0,48189441	4,166666667
Ale001	1	Bockemossen	74	3	18,3	3	1,333333333	2	2	3	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,244650254	0,038090731	-1,183728596	1,206506798	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	75	2	18	1	2	2	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,296373352	-1,231600291	-1,183728596	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	76	2	14,4	2	2	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,91705053	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	77	3	23,3	5	1,2	2	4	4	0	NA	1	280	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,617401382	1,307781752	-1,183728596	2,825979009	0,035478744	2,054391958	1,041666667
Ale001	1	Bockemossen	78	1	31,5	5	1,2	2	0	3	0	NA	2	330	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	2,031166065	1,307781752	-1,183728596	-0,412965414	0,922447338	-0,48189441	2,083333333
Ale001	1	Bockemossen	79	1	30,6	6	1,833333333	3	1	4	1	NA	2	140	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	1,87599677	1,942627263	-0,213459255	0,396770692	0,922447338	2,054391958	2,083333333
Ale001	1	Bockemossen	80	1	25,2	2	2,5	3	0	2	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,944981003	-0,59675478	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	81	2	24,5	1	3	3	0	1	0	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,824293774	-1,231600291	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
Ale001	1	Bockemossen	82	2	19,8	2	2,5	3	0	1	0	NA	1	420	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,013965237	-0,59675478	-0,213459255	-0,412965414	0,035478744	-0,48189441	1,041666667
Ale001	1	Bockemossen	83	28	18,2	3	1,666666667	3	2	2	0	NA	0	NA	1	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	-0,261891287	0,038090731	-0,213459255	1,206506798	-0,85148985	2,054391958	0
Ale001	1	Bockemossen	84	3	20,1	4	2	3	0	2	2	NA	0	NA	0	19,719	2,94	3,22	0,51	0,96	0,19	5,800116596	1,575186377	1,030641656	1,234970249	1,127435635	0,394277244	0,065688335	0,672936242	-0,213459255	-0,412965414	-0,85148985	-0,48189441	0
